Fecha procesado,2026-04-15 16:51:47
Fecha y Hora,2026-04-15 15:19:13
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),2.5
Velocidad (mm/min),1000
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_150x150x150_15.csv

X,Y,Z,Time (s),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
30.0,60.0,-60.0,0.75,-33.51711404870963,468.700595361333,-18.91701309973447,470.270595361333
45.0,60.0,-60.0,0.75,-34.16836533946351,468.0889607007966,-19.178102873425463,469.7189607007965
60.0,60.0,-60.0,0.75,-34.730544886845486,467.27483355235245,-18.980544886845493,468.9448335523524
75.0,60.0,-60.0,0.75,-34.480544886845486,466.62755798657986,-17.93457108631444,468.23755798658
75.0,45.0,-60.0,0.75,-33.7994551131545,466.28158418604886,-17.88457108631444,467.84158418604886
60.0,45.0,-60.0,0.75,-33.828910226309,467.0764682128889,-18.433531787111026,468.6564682128888
45.0,45.0,-60.0,0.75,-33.38896070079658,467.8740261994689,-18.41,469.424026199469
30.0,45.0,-60.0,0.75,-33.06646821288897,468.31407667395655,-18.100544886845494,469.8240766739565
15.0,45.0,-60.0,0.75,-32.71919264711646,468.730262466038,-17.764621560802016,470.2008073528835
0.0,45.0,-60.0,0.75,-32.53353178711102,468.7972755657725,-17.52755798657997,470.24727556577244
-15.0,45.0,-60.0,0.75,-32.22108977369099,468.783037374753,-17.4394551131545,470.20358226159857
-30.0,45.0,-60.0,0.75,-31.859949525512416,468.8118971265744,-17.45353178711102,470.21189712657446
-45.0,45.0,-60.0,0.75,-31.21516644764751,468.46158418604887,-17.36353178711102,469.8151159731599
-60.0,45.0,-60.0,0.75,-30.324026199468936,467.9640261994689,-16.86701309973447,469.24402619946886
-75.0,45.0,-60.0,0.75,-29.62727556577251,467.257820452618,-15.63,468.4478204526179
-75.0,30.0,-60.0,0.75,-30.315711334493006,466.5430373747531,-15.641634660536488,467.783037374753
-60.0,30.0,-60.0,0.75,-30.920645835820643,467.370595361333,-16.448910226309007,468.6741271484441
