Fecha procesado,2026-05-27 18:28:17
Fecha y Hora,2026-05-27 12:47:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),85
Paso radial (mm),85
Resol theta (deg),4
Resol phi (deg),4
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_85_85_4_4_R2.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-11.3715,-3.2607,84.1728,20.5,84.99999999999999,8.0,196.0,458.65,35.75402619946894,59.12,463.824694566247
-11.5712,-2.4595,84.1728,21.9,84.99999999999999,8.0,192.0,458.69592332604344,35.766468212888974,59.08646821288897,463.866792355551
-11.7146,-1.6464,84.1728,20.5,84.99999999999999,8.0,188.0,458.64896070079647,35.71,59.109999999999985,463.81900063701653
-11.8009,-0.8252,84.1728,20.9,84.99999999999999,8.0,183.99999999999997,458.73168513502395,35.690544886845494,59.169455113154505,463.9068854409539
-11.8297,0.0,84.1728,21.3,84.99999999999999,8.0,180.0,458.7639252504938,35.72945511315449,59.17646821288896,463.94265536171025
-11.8009,0.8252,84.1728,22.1,84.99999999999999,8.0,175.99999999999997,458.68326932107294,35.809999999999995,59.15,463.8657350517151
-11.7146,1.6464,84.1728,21.1,84.99999999999999,8.0,171.99999999999997,458.65402619946894,35.78646821288898,59.12,463.8311777534314
-11.5712,2.4595,84.1728,21.6,84.99999999999999,8.0,167.99999999999997,458.6892935960916,35.82651868737655,59.09755798657997,463.86628338446377
-11.3715,3.2607,84.1728,20.7,84.99999999999999,8.0,163.99999999999997,458.67412714844403,35.84054488684549,59.15293642577794,463.85942855671817
-11.1163,4.046,84.1728,21.9,84.99999999999999,8.0,159.99999999999997,458.6528054284331,35.89999999999999,59.156518687376554,463.84339989977445
-10.807,4.8116,84.1728,21.3,84.99999999999999,8.0,155.99999999999997,458.64013099734467,36.02298690026553,59.129999999999995,463.8370212116301
-10.445,5.5537,84.1728,21.3,84.99999999999999,8.0,151.99999999999997,458.66901117528414,36.04646821288897,59.09646821288897,463.86312877655274
-10.0322,6.2688,84.1728,22.2,84.99999999999999,8.0,147.99999999999997,458.7730979428408,36.023531787111025,59.10402619946894,463.9652316192194
-9.5704,6.9533,84.1728,22.1,84.99999999999999,8.0,143.99999999999997,458.65623626656907,35.9505448868455,59.13701309973447,463.8482198545491
-9.0621,7.604,84.1728,20.6,84.99999999999999,8.0,139.99999999999997,458.6677699781304,36.02651868737655,59.17353178711102,463.87017594323015
-8.5096,8.2176,84.1728,21.1,84.99999999999999,8.0,136.0,458.6353279647103,35.985115973159935,59.18402619946894,463.8362228050744
-7.9156,8.7912,84.1728,20.5,84.99999999999999,8.0,131.99999999999997,458.61976805368,35.94244201342003,59.173481312623444,463.8161830705724
-7.2831,9.3219,84.1728,21.8,84.99999999999999,8.0,128.0,458.5680523989378,35.94701309973447,59.160000000000004,463.76368123403915
-6.6151,9.8073,84.1728,21.6,84.99999999999999,8.0,124.0,458.6219476010621,36.03,59.15298690026553,463.82251732814177
-5.9149,10.2448,84.1728,22.2,84.99999999999999,8.0,119.99999999999997,458.61966710470494,36.069455113154504,59.164571086314446,463.8248064940229
-5.1858,10.6325,84.1728,22.2,84.99999999999999,8.0,115.99999999999997,458.6134813126234,35.977013099734464,59.19298690026553,463.815136030981
-4.4315,10.9683,84.1728,21.3,84.99999999999999,8.0,112.0,458.48739646951697,35.98189712657454,59.19701309973447,463.6913585588517
-3.6556,11.2507,84.1728,21.3,84.99999999999999,8.0,107.99999999999997,458.63019203678095,35.89054488684549,59.217820452618,463.82813036633274
-2.8619,11.4783,84.1728,22.7,84.99999999999999,8.0,104.0,458.61815334791294,35.82244201342004,59.18407667395652,463.80665461353976
-2.0542,11.65,84.1728,21.8,84.99999999999999,8.0,100.0,458.60026246603803,35.94592332604348,59.21646821288896,463.802652262025
-1.2365,11.7649,84.1728,21.9,84.99999999999999,8.0,96.0,458.5889607007965,35.90407667395652,59.24244201342003,463.7915528922012
-0.4129,11.8225,84.1728,21.5,84.99999999999999,8.0,91.99999999999999,458.5529364257779,35.896468212888976,59.256468212888976,463.7571357509527
0.4129,11.8225,84.1728,21.4,84.99999999999999,8.0,87.99999999999999,458.5318971265745,35.89592332604348,59.245973800531054,463.7349495191169
1.2365,11.7649,84.1728,21.8,84.99999999999999,8.0,83.99999999999999,458.538647760271,35.92755798657996,59.249455113154504,463.7445189367769
2.0542,11.65,84.1728,20.8,84.99999999999999,8.0,79.99999999999999,458.46407667395647,35.82755798657996,59.2794551131545,463.6668818346828
2.8619,11.4783,84.1728,21.3,84.99999999999999,8.0,75.99999999999999,458.50542891368553,35.832986900265524,59.2705448868455,463.7070506092191
3.6556,11.2507,84.1728,22.2,84.99999999999999,8.0,71.99999999999999,458.4935822615985,35.857013099734466,59.26348131262345,463.69629131663254
4.4315,10.9683,84.1728,20.8,84.99999999999999,8.0,68.0,458.50457108631434,35.902986900265525,59.24054488684549,463.7077833440971
5.1858,10.6325,84.1728,21.2,84.99999999999999,8.0,64.0,458.51701309973447,35.89592332604348,59.22244201342002,463.71722660621975
5.9149,10.2448,84.1728,21.3,84.99999999999999,8.0,59.999999999999986,458.51402619946884,35.99999999999999,59.21701309973446,463.7216480412591
6.6151,9.8073,84.1728,21.4,84.99999999999999,8.0,56.0,458.55542891368555,35.92,59.232986900265516,463.7584225901899
