Fecha procesado,2026-05-11 13:01:00
Fecha y Hora,2026-05-08 17:32:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Eje rapido,Z
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_170x170x170_5_R2.csv

X,Y,Z,T_robot (C),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-85.0,-60.0,85.0,23.7,462.0116346605365,27.969455113154496,58.298910226309,466.51452701347154
-85.0,-60.0,80.0,22.9,461.6738447276366,27.799999999999997,57.767013099734456,466.10364374038403
-85.0,-60.0,75.0,23.9,461.3618971265745,27.619999999999994,57.535660860005436,465.7553185856598
-85.0,-60.0,70.0,24.5,461.0361552723633,27.490544886845495,57.49701309973446,465.42021125203553
-85.0,-60.0,65.0,23.2,460.8491222178595,27.39701309973447,57.58462156080201,465.2402588083488
-85.0,-60.0,60.0,24.3,460.54108977369106,27.346468212888972,57.759999999999984,464.95391416102467
-85.0,-60.0,55.0,24.2,460.42651868737653,27.31701309973447,57.88651868737656,464.8544367444632
-85.0,-60.0,50.0,23.8,460.35893018107834,27.36701309973447,58.129999999999995,464.82082021298055
-85.0,-60.0,45.0,25.1,460.40587285155596,27.40891022630901,58.30651868737655,464.8918866117566
-85.0,-60.0,40.0,24.4,460.42244201342004,27.473531787111025,58.43999999999999,464.9288694611882
-85.0,-60.0,35.0,24.5,460.4094551131545,27.534076673956516,58.51646821288898,464.92920836186363
-85.0,-60.0,30.0,24.6,460.40602427501864,27.602986900265524,58.59940463866691,464.9403427307115
-85.0,-60.0,25.0,22.8,460.471089773691,27.653531787111024,58.55054488684549,465.00162219525413
-85.0,-60.0,20.0,23.4,460.4655298626607,27.6994551131545,58.59,465.0038194523422
-85.0,-60.0,15.0,23.6,460.5036127813168,27.72054488684549,58.63298690026552,465.04820518556494
-85.0,-60.0,10.0,23.7,460.52402619946884,27.742986900265524,58.607013099734466,465.066483433917
-85.0,-60.0,5.0,24.4,460.5316346605364,27.732986900265523,58.55597380053104,465.06699211322723
-85.0,-60.0,0.0,23.8,460.568153347913,27.73701309973447,58.61353178711102,465.11064477450975
-85.0,-60.0,-5.0,24.2,460.53176612922977,27.733531787111023,58.71293642577795,465.0869438107586
-85.0,-60.0,-10.0,23.6,460.57212907289437,27.7394551131545,58.817013099734474,465.14041372330564
-85.0,-60.0,-15.0,24.3,460.50217954738196,27.740544886845495,58.90999999999999,465.0829853891758
-85.0,-60.0,-20.0,23.8,460.56784040738734,27.74353178711102,59.060544886845506,465.16726791110113
-85.0,-60.0,-25.0,22.9,460.7226234852523,27.780544886845494,59.181089773690985,465.338044707442
-85.0,-60.0,-30.0,24.1,460.89384472763663,27.875923326043477,59.33,465.5322245657139
-85.0,-60.0,-35.0,24.3,461.0675579865799,27.99651868737655,59.41353178711101,465.7220907856303
-85.0,-60.0,-40.0,22.6,461.27566086000536,28.14353178711102,59.432442013420015,465.93938323237427
-85.0,-60.0,-45.0,24.1,461.6105448868454,28.289999999999996,59.275923326043475,466.2598570935367
-85.0,-60.0,-50.0,24.5,461.8756608600054,28.423531787111017,58.93945511315449,466.48781615724454
-85.0,-60.0,-55.0,23.4,462.00493450132757,28.518910226309007,58.402986900265525,466.55417329924813
-85.0,-60.0,-60.0,23.5,461.96994952551233,28.54298690026552,57.678102873425466,466.43080935640455
