x,y,z,B
-85.0,-35.0,-85.0,45.992245
-80.0,-35.0,-85.0,45.9643
-75.0,-35.0,-85.0,45.982212
-70.0,-35.0,-85.0,45.976734
-65.0,-35.0,-85.0,45.990673
-60.0,-35.0,-85.0,46.000973
-55.0,-35.0,-85.0,46.00358
-50.0,-35.0,-85.0,45.99245
-45.0,-35.0,-85.0,45.99859
-40.0,-35.0,-85.0,45.99561
-35.0,-35.0,-85.0,45.97943
-30.0,-35.0,-85.0,45.956825
-25.0,-35.0,-85.0,45.93312
-20.0,-35.0,-85.0,45.91123
-15.0,-35.0,-85.0,45.887894
-10.0,-35.0,-85.0,45.881832
-5.0,-35.0,-85.0,45.873466
0.0,-35.0,-85.0,45.857414
5.0,-35.0,-85.0,45.84535
10.0,-35.0,-85.0,45.840443
15.0,-35.0,-85.0,45.826183
20.0,-35.0,-85.0,45.85194
25.0,-35.0,-85.0,45.842175
30.0,-35.0,-85.0,45.83762
35.0,-35.0,-85.0,45.842403
40.0,-35.0,-85.0,45.84076
45.0,-35.0,-85.0,45.847637
50.0,-35.0,-85.0,45.842255
55.0,-35.0,-85.0,45.86688
60.0,-35.0,-85.0,45.85018
65.0,-35.0,-85.0,45.85015
70.0,-35.0,-85.0,45.845257
75.0,-35.0,-85.0,45.844486
80.0,-35.0,-85.0,46.006615
85.0,-35.0,-85.0,45.979057
-85.0,-30.0,-85.0,46.00006
-80.0,-30.0,-85.0,45.982193
-75.0,-30.0,-85.0,46.00109
-70.0,-30.0,-85.0,45.994915
-65.0,-30.0,-85.0,46.00308
-60.0,-30.0,-85.0,46.007454
-55.0,-30.0,-85.0,46.01508
-50.0,-30.0,-85.0,46.01373
-45.0,-30.0,-85.0,46.01801
-40.0,-30.0,-85.0,46.005196
-35.0,-30.0,-85.0,46.00122
-30.0,-30.0,-85.0,45.96664
-25.0,-30.0,-85.0,45.953716
-20.0,-30.0,-85.0,45.919422
-15.0,-30.0,-85.0,45.89815
-10.0,-30.0,-85.0,45.892136
-5.0,-30.0,-85.0,45.89091
0.0,-30.0,-85.0,45.864174
5.0,-30.0,-85.0,45.858475
10.0,-30.0,-85.0,45.853527
15.0,-30.0,-85.0,45.83675
20.0,-30.0,-85.0,45.85898
25.0,-30.0,-85.0,45.860588
30.0,-30.0,-85.0,45.847042
35.0,-30.0,-85.0,45.854603
40.0,-30.0,-85.0,45.863937
45.0,-30.0,-85.0,45.856113
50.0,-30.0,-85.0,45.861607
55.0,-30.0,-85.0,45.874653
60.0,-30.0,-85.0,45.86929
65.0,-30.0,-85.0,45.865902
70.0,-30.0,-85.0,45.86453
75.0,-30.0,-85.0,45.854336
80.0,-30.0,-85.0,46.008656
85.0,-30.0,-85.0,46.057076
-85.0,-25.0,-85.0,46.009106
-80.0,-25.0,-85.0,46.004265
-75.0,-25.0,-85.0,46.014717
-70.0,-25.0,-85.0,45.999176
-65.0,-25.0,-85.0,46.012226
-60.0,-25.0,-85.0,46.028446
-55.0,-25.0,-85.0,46.031532
-50.0,-25.0,-85.0,46.04007
-45.0,-25.0,-85.0,46.027985
-40.0,-25.0,-85.0,46.028175
-35.0,-25.0,-85.0,46.007317
-30.0,-25.0,-85.0,45.977955
-25.0,-25.0,-85.0,45.95581
-20.0,-25.0,-85.0,45.93489
-15.0,-25.0,-85.0,45.911034
-10.0,-25.0,-85.0,45.904453
-5.0,-25.0,-85.0,45.890034
0.0,-25.0,-85.0,45.889534
5.0,-25.0,-85.0,45.863876
10.0,-25.0,-85.0,45.854767
15.0,-25.0,-85.0,45.84702
